country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id
Australia,AU,,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM
Australia,AU,Australian Capital Territory,AU-ACT,,,,,ChIJSxCboN9MFmsRA3huXDhEWOc
Australia,AU,New South Wales,AU-NSW,,,,,ChIJDUte93TLDWsRLZ_EIhGvgBc
Australia,AU,New South Wales,AU-NSW,Armidale Regional Council,10180,,,ChIJr-0PW0URn2sRGy0iBY1dk_s
Australia,AU,New South Wales,AU-NSW,Ballina Shire Council,10250,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0
Australia,AU,New South Wales,AU-NSW,Balranald Shire Council,10300,,,ChIJ34xFpn2I3WoRFj4XZB_sU28
Australia,AU,New South Wales,AU-NSW,Balranald Shire Council,10300,postal_code,2737,ChIJG0pl_yoo3WoRMCjTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Balranald Shire Council,10300,postal_code,2715,ChIJDfeYaVR63WoRMCbTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bathurst Regional Council,10470,,,ChIJX9HZN_boEWsR2XS1xfFaJRs
Australia,AU,New South Wales,AU-NSW,Bathurst Regional Council,10470,postal_code,2795,ChIJ8bgYLEsYEGsRwCrTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,,,ChIJAzZME7CwEmsRwZ71IjMR7s4
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2019,ChIJs30P0w6xEmsRkIm6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2219,ChIJEffasiq3EmsRMJK6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2018,ChIJbcQ4yKexEmsRUIm6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2205,ChIJba78XeG7EmsREIq6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2216,ChIJFTkb74-wEmsRYI26P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2020,ChIJLYFOxE63EmsRsIm6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2207,ChIJxb3pso-wEmsRgI26P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bayside Council,10500,postal_code,2217,ChIJGQY04ua5EmsRUI26P2t9ARw
Australia,AU,New South Wales,AU-NSW,Bega Valley Shire Council,10550,,,ChIJCxhJUUsiPGsRvVK1j54XWd4
Australia,AU,New South Wales,AU-NSW,Bega Valley Shire Council,10550,postal_code,2550,ChIJDcFWSas8PGsRQBnTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bega Valley Shire Council,10550,postal_code,2551,ChIJybthTb34O2sRYBnTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bega Valley Shire Council,10550,postal_code,2549,ChIJe4acGF8cPGsR4BjTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bega Valley Shire Council,10550,postal_code,2548,ChIJE-PF_oigPmsR0DbTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bellingen Shire Council,10600,,,ChIJ8aCTwS6inmsRLgCilfSGS00
Australia,AU,New South Wales,AU-NSW,Bellingen Shire Council,10600,postal_code,2454,ChIJjQ8CS3KfnmsR0BDTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bellingen Shire Council,10600,postal_code,2453,ChIJrX3o1di7nmsRsBDTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bellingen Shire Council,10600,postal_code,2455,ChIJpyoqIpQjnGsR4BDTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Berrigan Shire Council,10650,,,ChIJQ6v_2NS6IGsRSbczF7RJB3Y
Australia,AU,New South Wales,AU-NSW,Berrigan Shire Council,10650,postal_code,2713,ChIJka_RnDNe32oR8CXTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Berrigan Shire Council,10650,postal_code,2712,ChIJHzqV3NO4IGsR4CXTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Berrigan Shire Council,10650,postal_code,2714,ChIJe237SnZX32oRACbTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bland Shire Council,10800,,,ChIJy3Wg81FTGWsRhoNTC6xe1Uk
Australia,AU,New South Wales,AU-NSW,Bland Shire Council,10800,postal_code,2669,ChIJUS2GTL4eHGsR4CPTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bland Shire Council,10800,postal_code,2668,ChIJ19uAUuRkGWsRwCPTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Bland Shire Council,10800,postal_code,2671,ChIJeRDIzSvmG2sRYCTTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blayney Shire Council,10850,,,ChIJPQYQGxmzEWsRcprOqrup-Io
Australia,AU,New South Wales,AU-NSW,Blayney Shire Council,10850,postal_code,2792,ChIJn0XwPJZREGsRwCnTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blayney Shire Council,10850,postal_code,2799,ChIJN-OOR922EWsRUCvTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blayney Shire Council,10850,postal_code,2791,ChIJg0_meqW0EWsRsCnTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blayney Shire Council,10850,postal_code,2797,ChIJRxLCfaJWEGsR4CrTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blayney Shire Council,10850,postal_code,2798,ChIJPwaFW3HMEWsR8CrTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,,,ChIJY0PVRG96EmsRNFJja1O7WIk
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,postal_code,2773,ChIJDepnK36IEmsRgHy6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,postal_code,2786,ChIJfwcJo85wEmsRwJq6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,postal_code,2777,ChIJnSVsQOqHEmsRUHy6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,postal_code,2785,ChIJDZaknh1tEmsRICnTzLcJBhw
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,postal_code,2784,ChIJzYZ9HH1vEmsREHy6P2t9ARw
Australia,AU,New South Wales,AU-NSW,Blue Mountains City Council,10900,postal_code,2778,ChIJ3Wq0l5hkEmsRMHy6P2t9ARw
